2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph C: glyph(frame 50, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph D: glyph(frame 51, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph E: glyph(frame 52, advance 81px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph F: glyph(frame 53, advance 81px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph G: glyph(frame 54, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph H: glyph(frame 55, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph I: glyph(frame 56, advance 49px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph J: glyph(frame 57, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph K: glyph(frame 58, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph L: glyph(frame 59, advance 81px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph M: glyph(frame 60, advance 113px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph N: glyph(frame 61, advance 113px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph O: glyph(frame 62, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph P: glyph(frame 63, advance 97px, offset 0px)
2026.09.20@14:50:04.547: [Test Scene 1] [Information] Glyph Q: glyph(frame 64, advance 97px, offset -16px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph R: glyph(frame 65, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph S: glyph(frame 66, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph T: glyph(frame 67, advance 81px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph U: glyph(frame 68, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph V: glyph(frame 69, advance 113px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph W: glyph(frame 70, advance 113px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph X: glyph(frame 71, advance 113px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph Y: glyph(frame 72, advance 113px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph Z: glyph(frame 73, advance 81px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph [: glyph(frame 39, advance 65px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph \: glyph(frame 41, advance 81px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph ]: glyph(frame 40, advance 65px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph ^: glyph(frame 80, advance 81px, offset 64px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph _: glyph(frame 85, advance 97px, offset -16px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph `: glyph(frame 26, advance 65px, offset 96px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph a: glyph(frame 0, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph b: glyph(frame 1, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph c: glyph(frame 2, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph d: glyph(frame 3, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph e: glyph(frame 4, advance 81px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph f: glyph(frame 5, advance 81px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph g: glyph(frame 6, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph h: glyph(frame 7, advance 97px, offset 0px)
2026.09.20@14:50:04.548: [Test Scene 1] [Information] Glyph i: glyph(frame 8, advance 49px, offset 0px)
